#,Account,OpenSea / ENS,Number Owned,last Active
1,0xb7f7f6c52f2e2,WrappedCryptoPu,428,7 hours ago
2,0xa858ddc0445d8,,423,1 month ago
3,0xa25803ab86a32,wilcox.eth,238,28 days ago
4,0xb88f61e6fbda8,,215,11 months ago
5,0x577ebc5de943e,,165,5 days ago
6,0x69021ae876958,sov.eth,146,6 months ago
7,0x26f744711ee9e,,141,4 years ago
8,0x4084df8bf74ba,,98,
9,0x269616d549d7e,,96,9 days ago
10,0x31a5ff62a1b2c,,93,1 month ago
11,0x7174039818a41,,89,3 years ago
12,0xcc7c335f3365a,,87,13 days ago
13,0x51688cd36c188,,79,6 days ago
14,0x810fdbc7e5cfe,,77,13 hours ago
15,0xf5a4ba515dd36,,75,1 month ago
16,0xcffc336e6d019,,74,2 months ago
17,0x6f4a2d3a4f47f,,70,9 days ago
18,0x062c5432107e3,,68,3 months ago
19,0x7760e0243ca9b,,66,3 years ago
20,0xdde8df9a7dc9f,Kenney,66,2 months ago
21,0x00b278dd68f9d,,61,8 months ago
22,0x505d79c7379ee,sos1usd.eth,59,1 month ago
23,0xf68e4d63c8ea8,garyvault.eth,59,
24,0xff36ff458b51d,hodlponkz.eth,53,2 months ago
25,0x4d8e16a70f384,,52,
26,0xd79b937791724,,51,3 months ago
27,0x6301add4fb128,ddaavvee,50,1 month ago
28,0x4bbb41f61fffc,,50,1 year ago
29,0x6611fe71c233e,,46,19 hours ago
30,0x005734d7d408b,,46,4 years ago
31,0x2cc12318de28e,,44,
32,0xf65c1c4274560,,43,
33,0xb47a70df538b9,niftynaut.eth,36,2 months ago
34,0x030defb961d3f,,35,6 days ago
35,0xc6a8206756fbc,punks.pixls.eth,35,5 months ago
36,0x97ad156c48078,vault.tonyherre,31,5 days ago
37,0xf605c6c3caa16,,31,7 months ago
38,0x03205743e7fc5,bimyou.eth,31,3 months ago
39,0x2f2f237d2e655,thebeautyandthe,29,7 days ago
40,0x8e23286017176,,29,
41,0x66c7a7348250f,cx000.eth,28,3 years ago
42,0x78f0269f5b1ca,TokenAngels,28,2 days ago
43,0x7583534d2f2c3,,27,27 days ago
44,0x56178626332fc,,26,7 months ago
45,0xc24f574d6853f,shilpixels.eth,26,11 days ago
46,0xbb67d2ab6251a,,26,
47,0x2c81cee7050c9,ddaavvee.eth,25,
48,0x9df947cd8a981,,24,5 months ago
49,0x052564eb0fd8b,pablopunkasso.e,24,11 days ago
50,0x3295df41a2f28,Cyrus,23,3 years ago
51,0x68a7ac13477aa,cdb-vault.eth,22,1 month ago
52,0x0845fc89c51b2,,22,10 days ago
53,0x530afa101bed3,PB,21,1 year ago
54,0x1da5331994e78,,21,1 month ago
55,0xae33cc279f43f,,21,
56,0xc480fb0ebea25,,20,9 days ago
57,0x8088d74111a23,,20,1 month ago
58,0x44fab57dba0e6,,19,4 years ago
59,0x231d688aa706d,,19,2 months ago
60,0x940fec5c4f11f,,18,8 months ago
61,0x896848ad1a209,,18,8 months ago
62,0x584cdfdeed396,,18,10 months ago
63,0x702a39a9d7d84,,18,8 months ago
64,0x9ae8912ea6562,snax,18,26 days ago
65,0xb70c1a3242e36,,18,10 days ago
66,0x2a538000a53f3,0x_NFT,17,1 year ago
67,0x8fa20dcc712bd,,17,22 days ago
68,0xdd9d84399a8e8,,17,4 years ago
69,0x83e551e481581,,17,4 months ago
70,0xb4bb4156e5e6c,,16,2 days ago
71,0x175b49d39c059,realbuddha.eth,16,
72,0xd5b171571df3b,,16,7 months ago
73,0x3d331379990dd,,16,23 days ago
74,0x6ccd607e6e2cc,,16,
75,0x6639c089adfba,vault.punksotc.,16,2 days ago
76,0x783ca9833d58a,pjcurly.eth,15,1 month ago
77,0x3935d398b6770,ms.punksotc.eth,15,5 days ago
78,0x51636d9efbfb7,,15,2 months ago
79,0x328b5cce1b574,,15,23 days ago
80,0x53311150764f7,ohana.eth,15,1 month ago
81,0x0e9aed5c7721c,,15,9 days ago
82,0x8e7644918b3e2,zoink.eth,14,7 months ago
83,0x2754637ab168f,,14,
84,0x67954ac510255,,14,8 days ago
85,0x0258558bf2a4f,,13,6 days ago
86,0x9df6a358688cc,,13,4 months ago
87,0x7447397496b36,,13,4 years ago
88,0xfe0d9af0225f0,,13,1 month ago
89,0xd0d3189ad4f6d,,13,1 month ago
90,0x9d3f4eeb533b8,district13.eth,13,5 months ago
91,0xfe2f279d3679b,subbo.eth,12,11 days ago
92,0x49ad94746a9ec,,12,
93,0x94de7e2c73529,tonyherrera,12,23 days ago
94,0x4c1147725bac8,,12,7 days ago
95,0xb60211811a497,,12,
96,0xe5c4c41194901,Katasterfoes,12,3 months ago
97,0xe83c750b27083,Snowfro,11,20 days ago
